dataset,model,dice_mean,dice_std,iou_mean,iou_std,precision_mean,precision_std,recall_mean,recall_std,pixel_accuracy_mean,pixel_accuracy_std,source_file
SEAFLOWER_BOLIVAR,ReefSupport_yolov8_sm_latest,0.639141703624922,0.2735789976914614,0.5251145781403994,0.27968959188597436,0.623342712662975,0.2967391405478397,0.7848973138917814,0.23998090501100267,0.7991233376589247,0.18783640558461542,automated_underwater_area_estimation\evaluation_results\SEAFLOWER_BOLIVAR\comparison\model_comparison.json
SEAFLOWER_BOLIVAR,ReefSupport_yolov8_xlarge_latest,0.617834369601664,0.293870499815169,0.5068067523944104,0.28568188969782315,0.7544510699416219,0.2742275796172728,0.5919183664369398,0.30440149085085827,0.8583480750884467,0.1296612114292768,automated_underwater_area_estimation\evaluation_results\SEAFLOWER_BOLIVAR\comparison\model_comparison.json
SEAFLOWER_BOLIVAR,CoralSCOP,0.4103551844690732,0.3844734482451912,0.3457975457821364,0.36751609376779604,0.949899237028093,0.15684265022690966,0.3514089600666123,0.3723701827223089,0.8247894198308147,0.1646291227138382,automated_underwater_area_estimation\evaluation_results\SEAFLOWER_BOLIVAR\comparison\model_comparison.json
SEAFLOWER_BOLIVAR,EPFL_b2,0.7503833666016043,0.2321654373264462,0.6452388749985571,0.24519443938695193,0.7627520423412828,0.20946017526178587,0.8084519397979886,0.245187419864204,0.8975709384776712,0.09777048229375024,automated_underwater_area_estimation\evaluation_results\SEAFLOWER_BOLIVAR\comparison\model_comparison.json
SEAFLOWER_BOLIVAR,EPFL_b5,0.7438333350956845,0.2271790725638821,0.6367503422145872,0.25077501444617706,0.705153309217678,0.237249191266475,0.85715041211068,0.2119706467238709,0.888371091305725,0.09611342532736565,automated_underwater_area_estimation\evaluation_results\SEAFLOWER_BOLIVAR\comparison\model_comparison.json
SEAFLOWER_COURTOWN,ReefSupport_yolov8_sm_latest,0.5242434898377012,0.30969067398973626,0.41383332392278044,0.28308838400731795,0.5906332583752133,0.326399133772516,0.5936733844638559,0.3023883291135539,0.8586716407685854,0.16130509307987476,automated_underwater_area_estimation\evaluation_results\SEAFLOWER_COURTOWN\comparison\model_comparison.json
SEAFLOWER_COURTOWN,ReefSupport_yolov8_xlarge_latest,0.453798237765893,0.32088030153832275,0.3510924761433267,0.2813081195175676,0.6331048427599457,0.35015203327798533,0.4237630434047654,0.3071225150616254,0.8862621920237402,0.10803341937521684,automated_underwater_area_estimation\evaluation_results\SEAFLOWER_COURTOWN\comparison\model_comparison.json
SEAFLOWER_COURTOWN,CoralSCOP,0.09481553899975201,0.1743146291612236,0.06199238848743793,0.13649018457181097,0.9243206744297917,0.2167626943975572,0.06340375016507499,0.139496194237601,0.8331166623291633,0.1636831899271586,automated_underwater_area_estimation\evaluation_results\SEAFLOWER_COURTOWN\comparison\model_comparison.json
SEAFLOWER_COURTOWN,EPFL_b2,0.5445975454443996,0.3063803755541495,0.432178643668148,0.2791806032743551,0.6559154775445021,0.33668129508338285,0.523099845259643,0.29685895334914353,0.9083656755225787,0.07988263442779302,automated_underwater_area_estimation\evaluation_results\SEAFLOWER_COURTOWN\comparison\model_comparison.json
SEAFLOWER_COURTOWN,EPFL_b5,0.5724637769638361,0.3057909480143129,0.4624055995186981,0.2912623694185403,0.6780883245291336,0.3180086169984861,0.5672209660506651,0.30609301295162356,0.9121104734814514,0.09037541271164545,automated_underwater_area_estimation\evaluation_results\SEAFLOWER_COURTOWN\comparison\model_comparison.json
SEAVIEW_ATL,ReefSupport_yolov8_sm_latest,0.6049652074975509,0.245325352214787,0.4743222806151657,0.23452920013931897,0.6738849615152505,0.2766286649469108,0.6342529817823352,0.22394375456353038,0.8438387560717603,0.162921402576891,automated_underwater_area_estimation\evaluation_results\SEAVIEW_ATL\comparison\model_comparison.json
SEAVIEW_ATL,ReefSupport_yolov8_xlarge_latest,0.4732832935903567,0.2437938130987538,0.3436372938286757,0.2136385860029125,0.7093702864765509,0.26761678921231646,0.403432296066254,0.23657487076405437,0.8505304571584607,0.12255389937639036,automated_underwater_area_estimation\evaluation_results\SEAVIEW_ATL\comparison\model_comparison.json
SEAVIEW_ATL,CoralSCOP,0.24000663384921736,0.24039536110285448,0.16268414536388262,0.196647609528883,0.8555761014598017,0.25076000943058835,0.1707899961534264,0.20476425361073525,0.8181970286665233,0.1463192216321536,automated_underwater_area_estimation\evaluation_results\SEAVIEW_ATL\comparison\model_comparison.json
SEAVIEW_ATL,EPFL_b2,0.6415947629756497,0.21386367955472046,0.5052631758705057,0.2126690967899295,0.7390237616948023,0.2143462473652366,0.6398348126181576,0.23917369937624566,0.8899948875109355,0.08242839271775702,automated_underwater_area_estimation\evaluation_results\SEAVIEW_ATL\comparison\model_comparison.json
SEAVIEW_ATL,EPFL_b5,0.6805390750880419,0.20731067666951622,0.5485008844996868,0.2119742087867489,0.7773408434147298,0.20999477597619554,0.6646680230208306,0.22155792023972778,0.9024111099276982,0.07760919836428032,automated_underwater_area_estimation\evaluation_results\SEAVIEW_ATL\comparison\model_comparison.json
SEAVIEW_IDN_PHL,ReefSupport_yolov8_sm_latest,0.6027430364820614,0.26713115318440084,0.4787186456137099,0.2513912066495197,0.7301054191941454,0.24341891027032408,0.5924971508105102,0.2785672600813569,0.7687670954547087,0.1783087458804233,automated_underwater_area_estimation\evaluation_results\SEAVIEW_IDN_PHL\comparison\model_comparison.json
SEAVIEW_IDN_PHL,ReefSupport_yolov8_xlarge_latest,0.36759423909102384,0.24610435101355316,0.25514510932612133,0.20161520596100382,0.6932735428766955,0.2840148324604457,0.29948504535340953,0.22944591036856615,0.6690682494001615,0.22491359023803745,automated_underwater_area_estimation\evaluation_results\SEAVIEW_IDN_PHL\comparison\model_comparison.json
