,stem,image_path,cpc_path,c1x,c1y,c2x,c2y,c3x,c3y,c4x,c4y,width_lower,width_upper,quadrant_width_px,height_left,height_right,quadrant_height_px,aspect_ratio,quadrant_width_irl_cm,quadrant_height_irl_cm,pixel_width_cm,pixel_height_cm,pixel_area_gt_cm^2
0,GA 1_PB100636,automated_underwater_area_estimation\data_preprocessed\IBF\images\GA 1_PB100636.jpg,automated_underwater_area_estimation\data_preprocessed\IBF\cpcs\GA 1_PB100636.cpc,934.3266666666666,2931.618,3601.896,2931.618,3601.896,81.24579999999999,934.3266666666666,81.24579999999999,2667.569333333334,2667.569333333334,2667.569333333334,2850.3722,2850.3722,2850.3722,0.9358670188171685,52.5,52.5,0.0196808380363247,0.018418647220878735,0.0003624944128023164
1,GA 1_PB100637,automated_underwater_area_estimation\data_preprocessed\IBF\images\GA 1_PB100637.jpg,automated_underwater_area_estimation\data_preprocessed\IBF\cpcs\GA 1_PB100637.cpc,903.8593333333333,2972.2413333333334,3832.0919999999996,2972.2413333333334,3832.0919999999996,108.32766666666666,903.8593333333333,108.32766666666666,2928.2326666666663,2928.2326666666663,2928.2326666666663,2863.913666666667,2863.913666666667,2863.913666666667,1.0224584283907068,52.5,52.5,0.017928903190525165,0.018331558178953485,0.0003286647319219368
2,GA 1_PB100638,automated_underwater_area_estimation\data_preprocessed\IBF\images\GA 1_PB100638.jpg,automated_underwater_area_estimation\data_preprocessed\IBF\cpcs\GA 1_PB100638.cpc,751.5233333333333,2860.528,3408.936666666667,2860.528,3408.936666666667,253.89306666666667,751.5233333333333,253.89306666666667,2657.413333333334,2657.413333333334,2657.413333333334,2606.6349333333333,2606.6349333333333,2606.6349333333333,1.0194804417567849,52.5,52.5,0.01975605350566465,0.020140910155325677,0.00039790489868139864
3,GA 1_PB100639,automated_underwater_area_estimation\data_preprocessed\IBF\images\GA 1_PB100639.jpg,automated_underwater_area_estimation\data_preprocessed\IBF\cpcs\GA 1_PB100639.cpc,616.1137333333334,2938.3886666666667,3195.6666666666665,2938.3886666666667,3195.6666666666665,267.434,616.1137333333334,267.434,2579.5529333333334,2579.5529333333334,2579.5529333333334,2670.9546666666665,2670.9546666666665,2670.9546666666665,0.9657793767621665,52.5,52.5,0.020352363900576674,0.019655893323535754,0.00040004389371151516
4,GA 1_PB100640,automated_underwater_area_estimation\data_preprocessed\IBF\images\GA 1_PB100640.jpg,automated_underwater_area_estimation\data_preprocessed\IBF\cpcs\GA 1_PB100640.cpc,660.1218666666666,2863.913333333333,3412.3226666666665,2863.913333333333,3412.3226666666665,16.9262,660.1218666666666,16.9262,2752.2007999999996,2752.2007999999996,2752.2007999999996,2846.987133333333,2846.987133333333,2846.987133333333,0.9667064412678413,52.5,52.5,0.019075643027209356,0.018440546985729268,0.00035176529152625304
5,GA 1_PB100660,automated_underwater_area_estimation\data_preprocessed\IBF\images\GA 1_PB100660.jpg,automated_underwater_area_estimation\data_preprocessed\IBF\cpcs\GA 1_PB100660.cpc,886.9326666666666,2691.2659999999996,3263.3713333333335,2691.2659999999996,3263.3713333333335,240.35206666666667,886.9326666666666,240.35206666666667,2376.438666666667,2376.438666666667,2376.438666666667,2450.913933333333,2450.913933333333,2450.913933333333,0.9696132672576646,52.5,52.5,0.022091880904142835,0.021420580823333146,0.00047322092044664176
6,GA 1_PB100662,automated_underwater_area_estimation\data_preprocessed\IBF\images\GA 1_PB100662.jpg,automated_underwater_area_estimation\data_preprocessed\IBF\cpcs\GA 1_PB100662.cpc,555.1794,2880.839333333333,3408.936666666667,2880.839333333333,3408.936666666667,250.5078,555.1794,250.5078,2853.757266666667,2853.757266666667,2853.757266666667,2630.331533333333,2630.331533333333,2630.331533333333,1.0849420426672198,52.5,52.5,0.018396799410106333,0.019959461130539872,0.0003671902027523562
7,GA 1_PB100663,automated_underwater_area_estimation\data_preprocessed\IBF\images\GA 1_PB100663.jpg,automated_underwater_area_estimation\data_preprocessed\IBF\cpcs\GA 1_PB100663.cpc,670.2773333333333,2968.8559999999998,3747.461333333333,2968.8559999999998,3747.461333333333,108.32766666666666,670.2773333333333,108.32766666666666,3077.1839999999997,3077.1839999999997,3077.1839999999997,2860.528333333333,2860.528333333333,2860.528333333333,1.0757397380553826,52.5,52.5,0.017061053222686716,0.01835325292472195,0.0003131258249581118
8,GA 1_PB100665,automated_underwater_area_estimation\data_preprocessed\IBF\images\GA 1_PB100665.jpg,automated_underwater_area_estimation\data_preprocessed\IBF\cpcs\GA 1_PB100665.cpc,968.1786666666667,2857.1426666666666,3402.1666666666665,2857.1426666666666,3402.1666666666665,440.08126666666664,968.1786666666667,440.08126666666664,2433.988,2433.988,2433.988,2417.0614,2417.0614,2417.0614,1.007002966494769,52.5,52.5,0.0215695393732426,0.021720590134781018,0.00046850312412222394
9,GA 1_PB100684,automated_underwater_area_estimation\data_preprocessed\IBF\images\GA 1_PB100684.jpg,automated_underwater_area_estimation\data_preprocessed\IBF\cpcs\GA 1_PB100684.cpc,731.212,2870.684,3368.314,2870.684,3368.314,297.9011333333333,731.212,297.9011333333333,2637.102,2637.102,2637.102,2572.782866666667,2572.782866666667,2572.782866666667,1.0249998296267675,52.5,52.5,0.01990821742958748,0.02040591947349981,0.00040624548172908746
10,GA 1_PB100685,automated_underwater_area_estimation\data_preprocessed\IBF\images\GA 1_PB100685.jpg,automated_underwater_area_estimation\data_preprocessed\IBF\cpcs\GA 1_PB100685.cpc,839.5393333333333,2677.7253333333333,3381.8546666666666,2677.7253333333333,3381.8546666666666,236.9668,839.5393333333333,236.9668,2542.3153333333335,2542.3153333333335,2542.3153333333335,2440.758533333333,2440.758533333333,2440.758533333333,1.0416087042667448,52.5,52.5,0.020650467434802866,0.021509706627267623,0.00044418549623855344
11,GA 1_PB100686,automated_underwater_area_estimation\data_preprocessed\IBF\images\GA 1_PB100686.jpg,automated_underwater_area_estimation\data_preprocessed\IBF\cpcs\GA 1_PB100686.cpc,592.4170666666666,2880.839333333333,3182.1259999999997,2880.839333333333,3182.1259999999997,138.79486666666665,592.4170666666666,138.79486666666665,2589.7089333333333,2589.7089333333333,2589.7089333333333,2742.0444666666663,2742.0444666666663,2742.0444666666663,0.94444454304619,52.5,52.5,0.02027254851857998,0.019146297822011982,0.00038814425154792007
12,GA 1_PB100687,automated_underwater_area_estimation\data_preprocessed\IBF\images\GA 1_PB100687.jpg,automated_underwater_area_estimation\data_preprocessed\IBF\cpcs\GA 1_PB100687.cpc,328.36826666666667,2921.462666666667,3107.650666666667,2921.462666666667,3107.650666666667,233.5816,328.36826666666667,233.5816,2779.2824,2779.2824,2779.2824,2687.881066666667,2687.881066666667,2687.881066666667,1.0340049768075055,52.5,52.5,0.01888976809265586,0.01953211421854578,0.0003689571079475959
13,GA 1_PB100688,automated_underwater_area_estimation\data_preprocessed\IBF\images\GA 1_PB100688.jpg,automated_underwater_area_estimation\data_preprocessed\IBF\cpcs\GA 1_PB100688.cpc,419.7698,2979.0113333333334,2846.987333333333,2979.0113333333334,2846.987333333333,589.0318666666666,419.7698,589.0318666666666,2427.217533333333,2427.217533333333,2427.217533333333,2389.9794666666667,2389.9794666666667,2389.9794666666667,1.0155809148932158,52.5,52.5,0.021629705322662608,0.021966715920460348,0.00047513359226619863
14,GA 2_PB100697,automated_underwater_area_estimation\data_preprocessed\IBF\images\GA 2_PB100697.jpg,automated_underwater_area_estimation\data_preprocessed\IBF\cpcs\GA 2_PB100697.cpc,714.2860000000001,2955.3146666666667,3588.3546666666666,2955.3146666666667,3588.3546666666666,118.4834,714.2860000000001,118.4834,2874.0686666666666,2874.0686666666666,2874.0686666666666,2836.8312666666666,2836.8312666666666,2836.8312666666666,1.0131264063666905,52.5,52.5,0.01826678694524348,0.0185065642137005,0.0003380554655801345
15,GA 2_PB100698,automated_underwater_area_estimation\data_preprocessed\IBF\images\GA 2_PB100698.jpg,automated_underwater_area_estimation\data_preprocessed\IBF\cpcs\GA 2_PB100698.cpc,653.3514,2870.684,3554.5026666666668,2870.684,3554.5026666666668,236.9668,653.3514,236.9668,2901.1512666666667,2901.1512666666667,2901.1512666666667,2633.7172,2633.7172,2633.7172,1.1015424384465677,52.5,52.5,0.018096264266951125,0.019933803067390832,0.00036072736815286543
16,GA 2_PB100699,automated_underwater_area_estimation\data_preprocessed\IBF\images\GA 2_PB100699.jpg,automated_underwater_area_estimation\data_preprocessed\IBF\cpcs\GA 2_PB100699.cpc,690.5886666666667,2826.676,3473.2566666666667,2826.676,3473.2566666666667,186.1882,690.5886666666667,186.1882,2782.668,2782.668,2782.668,2640.4878,2640.4878,2640.4878,1.0538461870568008,52.5,52.5,0.018866785401636128,0.019882689857533144,0.00037512244274936503
17,GA 2_PB100700,automated_underwater_area_estimation\data_preprocessed\IBF\images\GA 2_PB100700.jpg,automated_underwater_area_estimation\data_preprocessed\IBF\cpcs\GA 2_PB100700.cpc,501.01553333333334,2979.0113333333334,3496.9533333333334,2979.0113333333334,3496.9533333333334,169.262,501.01553333333334,169.262,2995.9378,2995.9378,2995.9378,2809.749333333333,2809.749333333333,2809.749333333333,1.0662651520040698,52.5,52.5,0.017523728296361826,0.01868494081559826,0.00032742982608614525
18,GA 2_PB100702,automated_underwater_area_estimation\data_preprocessed\IBF\images\GA 2_PB100702.jpg,automated_underwater_area_estimation\data_preprocessed\IBF\cpcs\GA 2_PB100702.cpc,477.3188666666667,2979.0113333333334,3415.7073333333333,2979.0113333333334,3415.7073333333333,101.5572,477.3188666666667,101.5572,2938.388466666667,2938.388466666667,2938.388466666667,2877.454133333333,2877.454133333333,2877.454133333333,1.0211764742407017,52.5,52.5,0.017866936450222477,0.018245295169720864,0.0003259875293129538
19,GA 2_PB100723,automated_underwater_area_estimation\data_preprocessed\IBF\images\GA 2_PB100723.jpg,automated_underwater_area_estimation\data_preprocessed\IBF\cpcs\GA 2_PB100723.cpc,754.9086666666666,2884.224666666667,3429.248666666667,2884.224666666667,3429.248666666667,331.75353333333334,754.9086666666666,331.75353333333334,2674.34,2674.34,2674.34,2552.4711333333335,2552.4711333333335,2552.4711333333335,1.047745443650724,52.5,52.5,0.019631011763650095,0.020568303129618156,0.0004037766006958551
20,GA 2_PB100724,automated_underwater_area_estimation\data_preprocessed\IBF\images\GA 2_PB100724.jpg,automated_underwater_area_estimation\data_preprocessed\IBF\cpcs\GA 2_PB100724.cpc,450.237,2989.1673333333333,3361.5440000000003,2989.1673333333333,3361.5440000000003,267.434,450.237,267.434,2911.3070000000002,2911.3070000000002,2911.3070000000002,2721.733333333333,2721.733333333333,2721.733333333333,1.0696518150198404,52.5,52.5,0.018033137693826175,0.019289178464703866,0.0003478444112547914
21,GA 2_PB100725,automated_underwater_area_estimation\data_preprocessed\IBF\images\GA 2_PB100725.jpg,automated_underwater_area_estimation\data_preprocessed\IBF\cpcs\GA 2_PB100725.cpc,751.5233333333333,2951.93,3639.133333333333,2951.93,3639.133333333333,304.67159999999996,751.5233333333333,304.67159999999996,2887.6099999999997,2887.6099999999997,2887.6099999999997,2647.2583999999997,2647.2583999999997,2647.2583999999997,1.0907926479711991,52.5,52.5,0.01818112556751085,0.019831838100882033,0.00036056513874668214
22,GA 2_PB100726,automated_underwater_area_estimation\data_preprocessed\IBF\images\GA 2_PB100726.jpg,automated_underwater_area_estimation\data_preprocessed\IBF\cpcs\GA 2_PB100726.cpc,561.9499333333333,2894.3806666666665,3513.8793333333333,2894.3806666666665,3513.8793333333333,318.2126,561.9499333333333,318.2126,2951.9294,2951.9294,2951.9294,2576.1680666666666,2576.1680666666666,2576.1680666666666,1.1458605663952413,52.5,52.5,0.017784978190874077,0.02037910518312198,0.0003624419412313533
