image,region_precision,region_recall,region_iou,region_dice,edge_precision,edge_recall,edge_iou,edge_dice
..\data_preprocessed\IBF\out_images\GA 1_PB100636_rot-15_aug00.jpg,0.9727050065994263,0.9937359690666199,0.9667772650718689,0.9831080436706543,0.9989908933639526,0.9972299337387085,0.99622642993927,0.9981096386909485
..\data_preprocessed\IBF\out_images\GA 1_PB100636_rot-15_aug01.jpg,0.9738103747367859,0.9939906597137451,0.9681107997894287,0.983797013759613,0.9983637928962708,1.0,0.9983637928962708,0.9991812109947205
..\data_preprocessed\IBF\out_images\GA 1_PB100636_rot-15_aug02.jpg,0.9807282090187073,0.9938153028488159,0.9747788906097412,0.9872283935546875,0.9980742931365967,0.9983489513397217,0.9964295625686646,0.9982115626335144
..\data_preprocessed\IBF\out_images\GA 1_PB100636_rot-15_aug03.jpg,0.9719334840774536,0.99223792552948,0.9645994305610657,0.9819807410240173,0.9956176280975342,0.9983521103858948,0.9939841628074646,0.996982991695404
..\data_preprocessed\IBF\out_images\GA 1_PB100636_rot-15_aug04.jpg,0.9742755889892578,0.9925675988197327,0.9672192931175232,0.9833365082740784,0.9970387816429138,0.9958592057228088,0.9929224252700806,0.9964486360549927
..\data_preprocessed\IBF\out_images\GA 1_PB100636_rot00_aug00.jpg,0.9732486605644226,0.995721697807312,0.9691957235336304,0.9843569397926331,0.999752402305603,0.9977761507034302,0.9975296258926392,0.9987633228302002
..\data_preprocessed\IBF\out_images\GA 1_PB100636_rot00_aug01.jpg,0.9739587306976318,0.9959313273429871,0.9700988531112671,0.9848225116729736,0.9974597692489624,1.0,0.9974597692489624,0.9987282752990723
..\data_preprocessed\IBF\out_images\GA 1_PB100636_rot00_aug02.jpg,0.9835159182548523,0.9928718209266663,0.9766200184822083,0.9881717562675476,1.0,0.998792290687561,0.998792290687561,0.9993957877159119
..\data_preprocessed\IBF\out_images\GA 1_PB100636_rot00_aug03.jpg,0.9744032025337219,0.9956408739089966,0.9702639579772949,0.9849075675010681,1.0,0.9923989176750183,0.9923989176750183,0.9961849451065063
..\data_preprocessed\IBF\out_images\GA 1_PB100636_rot00_aug04.jpg,0.9729451537132263,0.9913964867591858,0.9647989869117737,0.9820841550827026,1.0,0.9974315166473389,0.9974315166473389,0.9987140893936157
..\data_preprocessed\IBF\out_images\GA 1_PB100636_rot15_aug00.jpg,0.9717438220977783,0.9912961721420288,0.9635229110717773,0.9814226031303406,0.9988675117492676,0.9849246144294739,0.9838259816169739,0.991847038269043
..\data_preprocessed\IBF\out_images\GA 1_PB100636_rot15_aug01.jpg,0.9730731844902039,0.9939064383506775,0.9673024415969849,0.9833794832229614,0.9994654059410095,0.9968008399009705,0.9962696433067322,0.9981313347816467
..\data_preprocessed\IBF\out_images\GA 1_PB100636_rot15_aug02.jpg,0.9779775738716125,0.990862250328064,0.9692360758781433,0.9843777418136597,0.9977765679359436,0.9966685175895691,0.9944598078727722,0.9972222447395325
..\data_preprocessed\IBF\out_images\GA 1_PB100636_rot15_aug03.jpg,0.9698061943054199,0.9923052787780762,0.9625674486160278,0.9809267520904541,0.9989528656005859,0.9958246350288391,0.994786262512207,0.9973862767219543
..\data_preprocessed\IBF\out_images\GA 1_PB100636_rot15_aug04.jpg,0.9766556620597839,0.9911993741989136,0.9682593941688538,0.9838737845420837,1.0,0.9881523251533508,0.9881523251533508,0.994040846824646
..\data_preprocessed\IBF\out_images\GA 1_PB100637_rot-15_aug00.jpg,0.9672110676765442,0.9945619106292725,0.9621228575706482,0.9806958436965942,0.9890075325965881,0.9831408262252808,0.9725139141082764,0.9860654473304749
..\data_preprocessed\IBF\out_images\GA 1_PB100637_rot-15_aug01.jpg,0.9641165733337402,0.9895688891410828,0.9544169902801514,0.9766769409179688,0.9890233874320984,0.9758400321006775,0.9653846025466919,0.9823874831199646
..\data_preprocessed\IBF\out_images\GA 1_PB100637_rot-15_aug02.jpg,0.9772933125495911,0.9913506507873535,0.9690306782722473,0.984271764755249,0.9897054433822632,0.9942545294761658,0.9840773344039917,0.9919747710227966
..\data_preprocessed\IBF\out_images\GA 1_PB100637_rot-15_aug03.jpg,0.9807034134864807,0.9912007451057434,0.9722390174865723,0.9859241247177124,0.9957879185676575,0.991611123085022,0.9874693155288696,0.9936951398849487
..\data_preprocessed\IBF\out_images\GA 1_PB100637_rot-15_aug04.jpg,0.9807522892951965,0.9905819296836853,0.9716916084289551,0.9856426119804382,0.997717559337616,0.9929017424583435,0.990651547908783,0.9953038096427917
..\data_preprocessed\IBF\out_images\GA 1_PB100637_rot00_aug00.jpg,0.9745104908943176,0.9945899844169617,0.969372034072876,0.9844478368759155,0.9872733354568481,0.9776307344436646,0.9654635787010193,0.9824283719062805
..\data_preprocessed\IBF\out_images\GA 1_PB100637_rot00_aug01.jpg,0.9719288349151611,0.9931281805038452,0.9654362201690674,0.982414186000824,0.9932907223701477,0.9700468182563782,0.9637321829795837,0.9815312027931213
..\data_preprocessed\IBF\out_images\GA 1_PB100637_rot00_aug02.jpg,0.9785500168800354,0.9943638443946838,0.9731524586677551,0.9863935708999634,0.9913277626037598,0.9937050342559814,0.9851411581039429,0.992514967918396
..\data_preprocessed\IBF\out_images\GA 1_PB100637_rot00_aug03.jpg,0.9638490676879883,0.9923229217529297,0.9567150473594666,0.977878749370575,0.9724693894386292,0.9853479862213135,0.9586074352264404,0.9788663387298584
..\data_preprocessed\IBF\out_images\GA 1_PB100637_rot00_aug04.jpg,0.9778867363929749,0.9936707019805908,0.9718334078788757,0.9857155680656433,0.9912363290786743,0.9829298853874207,0.974461555480957,0.9870656132698059
..\data_preprocessed\IBF\out_images\GA 1_PB100637_rot15_aug00.jpg,0.9801713824272156,0.991366982460022,0.9718759059906006,0.9857373833656311,0.9865200519561768,0.9939242601394653,0.9806064963340759,0.9902082681655884
..\data_preprocessed\IBF\out_images\GA 1_PB100637_rot15_aug01.jpg,0.9739781022071838,0.9910508990287781,0.9654867053031921,0.9824403524398804,0.9902856945991516,0.9900028705596924,0.9804809093475342,0.9901442527770996
..\data_preprocessed\IBF\out_images\GA 1_PB100637_rot15_aug02.jpg,0.975069522857666,0.9927245378494263,0.9681510329246521,0.9838178157806396,0.9887994527816772,0.9929701089859009,0.9819256067276001,0.9908803701400757
..\data_preprocessed\IBF\out_images\GA 1_PB100637_rot15_aug03.jpg,0.9670442342758179,0.9907974600791931,0.958435595035553,0.978776752948761,0.9940672516822815,0.9878807663917542,0.9820905327796936,0.9909643530845642
..\data_preprocessed\IBF\out_images\GA 1_PB100637_rot15_aug04.jpg,0.9766712784767151,0.9933602213859558,0.9703366756439209,0.9849450588226318,0.9919502139091492,0.9912248849868774,0.9833151698112488,0.9915874004364014
..\data_preprocessed\IBF\out_images\GA 1_PB100638_rot-15_aug00.jpg,0.9705387949943542,0.9921245574951172,0.963118851184845,0.9812129735946655,0.9952696561813354,0.9947990775108337,0.9901176691055298,0.9950342774391174
..\data_preprocessed\IBF\out_images\GA 1_PB100638_rot-15_aug01.jpg,0.9721760153770447,0.9926042556762695,0.9651846289634705,0.9822839498519897,0.9937574863433838,0.9854761958122253,0.9794131517410278,0.9895995259284973
..\data_preprocessed\IBF\out_images\GA 1_PB100638_rot-15_aug02.jpg,0.9701748490333557,0.9944459199905396,0.9649462103843689,0.9821604490280151,0.9965728521347046,0.9953545331954956,0.9919590353965759,0.9959632754325867
..\data_preprocessed\IBF\out_images\GA 1_PB100638_rot-15_aug03.jpg,0.9698650240898132,0.9939829707145691,0.9642041921615601,0.9817759394645691,0.9922668933868408,0.9814248085021973,0.9739753007888794,0.9868161082267761
..\data_preprocessed\IBF\out_images\GA 1_PB100638_rot-15_aug04.jpg,0.9718114137649536,0.9939758777618408,0.9661211967468262,0.982768714427948,0.9918150901794434,0.9906227588653564,0.9825900197029114,0.9912185668945312
..\data_preprocessed\IBF\out_images\GA 1_PB100638_rot00_aug00.jpg,0.9643884897232056,0.9937074780464172,0.9585348963737488,0.978828489780426,0.9960454702377319,0.9858121275901794,0.9819688200950623,0.9909023642539978
..\data_preprocessed\IBF\out_images\GA 1_PB100638_rot00_aug01.jpg,0.9667715430259705,0.9938621520996094,0.9610336422920227,0.9801296591758728,0.9886303544044495,0.9860231876373291,0.9749674201011658,0.9873250722885132
..\data_preprocessed\IBF\out_images\GA 1_PB100638_rot00_aug02.jpg,0.9695304036140442,0.9940165877342224,0.9639049768447876,0.9816207885742188,0.9913612604141235,0.989806592464447,0.9813423156738281,0.9905833005905151
..\data_preprocessed\IBF\out_images\GA 1_PB100638_rot00_aug03.jpg,0.9597698450088501,0.9934534430503845,0.9537378549575806,0.9763212203979492,0.9822501540184021,0.9827868938446045,0.9656375646591187,0.9825184345245361
