image,precision,recall,iou,dice,edge_precision,edge_recall,edge_iou,edge_dice
..\data_preprocessed\IBF\images\GA 1_PB100636.JPG,0.971580982208252,0.9932747483253479,0.9652312994003296,0.9823080897331238,0.6588628888130188,0.6482458114624023,0.4853447377681732,0.6535112261772156
..\data_preprocessed\IBF\images\GA 1_PB100637.JPG,0.9676476716995239,0.9876198768615723,0.9560509920120239,0.9775317907333374,0.5994015336036682,0.6017587780952454,0.42916131019592285,0.6005778312683105
..\data_preprocessed\IBF\images\GA 1_PB100638.JPG,0.9650937914848328,0.9908350110054016,0.9565547108650208,0.9777950048446655,0.5723737478256226,0.5601708889007568,0.3949010968208313,0.5662065744400024
..\data_preprocessed\IBF\images\GA 1_PB100639.JPG,0.9715684652328491,0.9867986440658569,0.9591023921966553,0.9791243076324463,0.6491308212280273,0.644492506980896,0.4779817759990692,0.6468033790588379
..\data_preprocessed\IBF\images\GA 1_PB100640.JPG,0.9789606332778931,0.989727258682251,0.9691134691238403,0.984314501285553,0.6513906121253967,0.6390283703804016,0.47617846727371216,0.6451503038406372
..\data_preprocessed\IBF\images\GA 1_PB100641.JPG,0.9619140625,0.9948416948318481,0.9571402072906494,0.9781007766723633,0.5610590577125549,0.549651026725769,0.38436707854270935,0.5552964806556702
..\data_preprocessed\IBF\images\GA 1_PB100642.JPG,0.9639056324958801,0.9906277060508728,0.9551947116851807,0.9770839810371399,0.588381290435791,0.5825393795967102,0.41387295722961426,0.585445761680603
..\data_preprocessed\IBF\images\GA 1_PB100643.JPG,0.9647984504699707,0.9888240098953247,0.954391360282898,0.9766634702682495,0.5964486598968506,0.6008228063583374,0.42717254161834717,0.5986277461051941
..\data_preprocessed\IBF\images\GA 1_PB100644.JPG,0.9684513211250305,0.9913630485534668,0.9603484869003296,0.979773223400116,0.5926050543785095,0.5871982574462891,0.41832831501960754,0.5898892283439636
..\data_preprocessed\IBF\images\GA 1_PB100645.JPG,0.9667690992355347,0.9914394617080688,0.9587658047676086,0.9789488911628723,0.5746424794197083,0.5625752210617065,0.39717963337898254,0.568544864654541
..\data_preprocessed\IBF\images\GA 1_PB100646.JPG,0.9667626023292542,0.9919962882995605,0.9592800736427307,0.9792169332504272,0.6314184069633484,0.6176693439483643,0.4539830982685089,0.624468207359314
..\data_preprocessed\IBF\images\GA 1_PB100647.JPG,0.9744167923927307,0.9896671175956726,0.9646033048629761,0.9819827675819397,0.6221852898597717,0.6103177070617676,0.445289671421051,0.6161943674087524
..\data_preprocessed\IBF\images\GA 1_PB100648.JPG,0.9726997017860413,0.989012598991394,0.9623008966445923,0.9807883501052856,0.6136404275894165,0.6049095392227173,0.4380664527416229,0.6092436909675598
..\data_preprocessed\IBF\images\GA 1_PB100649.JPG,0.9761720895767212,0.9924496412277222,0.9689759612083435,0.9842435717582703,0.7311774492263794,0.7216204404830933,0.5703116655349731,0.7263674736022949
..\data_preprocessed\IBF\images\GA 1_PB100650.JPG,0.9616231918334961,0.9890105724334717,0.9514567852020264,0.9751245975494385,0.590913712978363,0.5910939574241638,0.4194502532482147,0.5910038352012634
..\data_preprocessed\IBF\images\GA 1_PB100651.JPG,0.9726410508155823,0.9925382137298584,0.9655805230140686,0.9824889302253723,0.6619870662689209,0.6504266262054443,0.4882678985595703,0.6561559438705444
..\data_preprocessed\IBF\images\GA 1_PB100652.JPG,0.94170743227005,0.9967783689498901,0.9388498663902283,0.9684606194496155,0.5105506777763367,0.5051618218421936,0.34034058451652527,0.507841944694519
..\data_preprocessed\IBF\images\GA 1_PB100653.JPG,0.9677734375,0.9934074282646179,0.9615976810455322,0.9804229140281677,0.6536749601364136,0.6500405073165894,0.4835173785686493,0.6518526673316956
..\data_preprocessed\IBF\images\GA 1_PB100654.JPG,0.9667572975158691,0.9901753067970276,0.9575719237327576,0.978326141834259,0.6132656335830688,0.6115480065345764,0.44134339690208435,0.6124055981636047
..\data_preprocessed\IBF\images\GA 1_PB100655.JPG,0.9674590826034546,0.9936807155609131,0.9615431427955627,0.9803946018218994,0.5956193804740906,0.5814327597618103,0.41687270998954773,0.5884405970573425
..\data_preprocessed\IBF\images\GA 1_PB100656.JPG,0.9740395545959473,0.9875461459159851,0.9622201323509216,0.9807463884353638,0.7168097496032715,0.7216460108757019,0.561548113822937,0.7192197442054749
..\data_preprocessed\IBF\images\GA 1_PB100657.JPG,0.9712271094322205,0.9909805059432983,0.9627169966697693,0.9810043573379517,0.6490799188613892,0.6436771154403687,0.4775055944919586,0.6463672518730164
..\data_preprocessed\IBF\images\GA 1_PB100658.JPG,0.9721583724021912,0.9899750351905823,0.9626811742782593,0.9809858202934265,0.6944471597671509,0.6863476037979126,0.5271531343460083,0.6903735995292664
..\data_preprocessed\IBF\images\GA 1_PB100659.JPG,0.9620262980461121,0.9955792427062988,0.9579342007637024,0.9785152077674866,0.5548508167266846,0.5447528958320618,0.3790777921676636,0.5497554540634155
..\data_preprocessed\IBF\images\GA 1_PB100660.JPG,0.970954418182373,0.9889282584190369,0.960513174533844,0.979858934879303,0.6384082436561584,0.6346858143806458,0.4668580889701843,0.6365415453910828
..\data_preprocessed\IBF\images\GA 1_PB100661.JPG,0.9706252813339233,0.9896107316017151,0.9608344435691833,0.9800260663032532,0.6339704990386963,0.6268212199211121,0.46025437116622925,0.6303756237030029
..\data_preprocessed\IBF\images\GA 1_PB100662.JPG,0.9801100492477417,0.9899136424064636,0.9704189896583557,0.9849874377250671,0.6979597806930542,0.6877913475036621,0.5300325751304626,0.6928382515907288
..\data_preprocessed\IBF\images\GA 1_PB100663.JPG,0.9629313349723816,0.9937150478363037,0.9571022987365723,0.9780810475349426,0.6370057463645935,0.6590456366539001,0.47911301255226135,0.647838294506073
