folder_path,model_name,dataset_name,device,dataset_size,dice_mean,dice_std,dice_min,dice_max,iou_mean,iou_std,iou_min,iou_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,pixel_accuracy_mean,pixel_accuracy_std,pixel_accuracy_min,pixel_accuracy_max
automated_underwater_area_estimation\evaluation_results_vm\evaluation_results\SEAFLOWER_BOLIVAR\CoralSCOP,CoralSCOP,SEAFLOWER_BOLIVAR,cuda,246,0.4103551844690732,0.3844734482451912,1.1854093282057804e-13,1.0,0.3457975457821364,0.36751609376779604,1.1854093282057804e-13,1.0,0.949899237028093,0.15684265022690966,1.2222100068126629e-11,1.0,0.3514089600666123,0.3723701827223089,1.1854093282057804e-13,1.0,0.8247894198308147,0.1646291227138382,0.2223682552576065,1.0
automated_underwater_area_estimation\evaluation_results_vm\evaluation_results\SEAFLOWER_BOLIVAR\EPFL_b2,EPFL_b2,SEAFLOWER_BOLIVAR,cuda,246,0.7503833666016043,0.23216543732644623,5.014361321997729e-13,0.9871109127998352,0.6452388749985571,0.24519443938695193,5.014361321997729e-13,0.9745497107505798,0.7627520423412828,0.20946017526178587,5.014361321997729e-13,1.0,0.8084519397979886,0.245187419864204,0.0009042727178893983,1.0,0.8975709384776712,0.09777048229375024,0.3578229248523712,0.9968252182006836
automated_underwater_area_estimation\evaluation_results_vm\evaluation_results\SEAFLOWER_BOLIVAR\EPFL_b5,EPFL_b5,SEAFLOWER_BOLIVAR,cuda,246,0.7438333350956845,0.2271790725638821,2.7241639391321903e-13,0.9901301264762878,0.6367503422145872,0.25077501444617706,2.7241639391321903e-13,0.9804532527923584,0.705153309217678,0.237249191266475,2.7241639391321903e-13,0.9874959588050842,0.85715041211068,0.2119706467238709,0.002746188547462225,1.0,0.888371091305725,0.09611342532736565,0.4787368178367615,0.9974595904350281
automated_underwater_area_estimation\evaluation_results_vm\evaluation_results\SEAFLOWER_COURTOWN\CoralSCOP,CoralSCOP,SEAFLOWER_COURTOWN,cuda,241,0.09481553899975201,0.1743146291612236,3.8243594489145716e-13,0.9816470146179199,0.06199238848743793,0.13649018457181097,3.8243594489145716e-13,0.9639555215835571,0.9243206744297917,0.2167626943975572,7.983521829735274e-12,1.0,0.06340375016507499,0.139496194237601,3.8243594489145716e-13,0.9667795896530151,0.8331166623291633,0.1636831899271586,0.2648642063140869,0.9997731447219849
automated_underwater_area_estimation\evaluation_results_vm\evaluation_results\SEAFLOWER_COURTOWN\EPFL_b2,EPFL_b2,SEAFLOWER_COURTOWN,cuda,241,0.5445975454443996,0.3063803755541495,2.319846571785522e-12,0.9614205360412598,0.432178643668148,0.2791806032743551,2.319846571785522e-12,0.9257072806358337,0.6559154775445021,0.33668129508338285,2.372648084947304e-12,1.0,0.523099845259643,0.29685895334914353,3.770610993575341e-12,0.9487811326980591,0.9083656755225787,0.07988263442779302,0.5832924842834473,0.9993668794631958
automated_underwater_area_estimation\evaluation_results_vm\evaluation_results\SEAFLOWER_COURTOWN\EPFL_b5,EPFL_b5,SEAFLOWER_COURTOWN,cuda,241,0.5724637769638361,0.3057909480143129,1.5003818500114452e-12,0.9751890301704407,0.4624055995186981,0.2912623694185403,1.5003818500114452e-12,0.9515794515609741,0.6780883245291336,0.3180086169984861,5.114069324269055e-12,1.0,0.5672209660506651,0.30609301295162356,1.5047029377698862e-12,0.9741010665893555,0.9121104734814514,0.09037541271164545,0.39856716990470886,0.9996340870857239
automated_underwater_area_estimation\evaluation_results_vm\evaluation_results\SEAVIEW_ATL\CoralSCOP,CoralSCOP,SEAVIEW_ATL,cuda,705,0.24000663384921736,0.24039536110285448,3.500500941628487e-13,1.0,0.16268414536388262,0.196647609528883,3.500500941628487e-13,1.0,0.8555761014598017,0.25076000943058835,1.749597515476875e-11,1.0,0.1707899961534264,0.20476425361073525,3.500500941628487e-13,1.0,0.8181970286665233,0.1463192216321536,0.18354956805706024,1.0
automated_underwater_area_estimation\evaluation_results_vm\evaluation_results\SEAVIEW_ATL\EPFL_b2,EPFL_b2,SEAVIEW_ATL,cuda,705,0.6415947629756497,0.21386367955472046,6.884112637578488e-12,1.0,0.5052631758705057,0.2126690967899295,6.884112637578488e-12,1.0,0.7390237616948023,0.2143462473652366,6.884112637578488e-12,1.0,0.6398348126181576,0.23917369937624566,2.3014430639012318e-11,1.0,0.8899948875109355,0.08242839271775702,0.5119510293006897,1.0
automated_underwater_area_estimation\evaluation_results_vm\evaluation_results\SEAVIEW_ATL\EPFL_b5,EPFL_b5,SEAVIEW_ATL,cuda,705,0.6805390750880419,0.20731067666951622,3.421072453102525e-12,1.0,0.5485008844996868,0.2119742087867489,3.421072453102525e-12,1.0,0.7773408434147298,0.20999477597619554,3.421072453102525e-12,1.0,0.6646680230208306,0.22155792023972778,4.241421797113176e-11,1.0,0.9024111099276982,0.07760919836428032,0.4300767183303833,1.0
automated_underwater_area_estimation\evaluation_results_vm\evaluation_results\SEAVIEW_IDN_PHL\CoralSCOP,CoralSCOP,SEAVIEW_IDN_PHL,cuda,466,0.16022837764821174,0.22311141533329149,4.273396415378772e-13,0.9920217990875244,0.10904363367511372,0.18477753964983368,4.273396415378772e-13,0.9841699004173279,0.8482259949600376,0.27761223663122303,5.582132846237986e-12,1.0,0.11265335245704365,0.18983025358756483,4.273396415378772e-13,0.9954266548156738,0.6244273935914312,0.2576131403036375,0.0060383896343410015,0.9997844696044922
automated_underwater_area_estimation\evaluation_results_vm\evaluation_results\SEAVIEW_IDN_PHL\EPFL_b2,EPFL_b2,SEAVIEW_IDN_PHL,cuda,466,0.7154309944527761,0.23860595900148968,1.7779484481894592e-12,0.9878221750259399,0.6011941222211195,0.24265070216062637,1.7779484481894592e-12,0.9759373664855957,0.7127672161044849,0.23792290852252246,1.8024382984413445e-12,1.0,0.7960801386702716,0.2349358743154923,2.1787441642495686e-11,0.9997965693473816,0.8183318370945208,0.15245417744076822,0.0871187373995781,0.999377965927124
automated_underwater_area_estimation\evaluation_results_vm\evaluation_results\SEAVIEW_IDN_PHL\EPFL_b5,EPFL_b5,SEAVIEW_IDN_PHL,cuda,466,0.7390468905108639,0.2350595683116243,1.1323361519266495e-11,0.9979881644248962,0.6300267872211062,0.2402469189789499,1.1323361519266495e-11,0.9959844350814819,0.7230312758159791,0.22192519507431713,1.14934598297034e-11,1.0,0.8326199812751541,0.22466227950251128,2.1787441642495686e-11,0.9999432563781738,0.8380313519020705,0.1325729170448685,0.11074047535657883,0.9992891550064087
automated_underwater_area_estimation\evaluation_results_vm\evaluation_results\SEAVIEW_PAC_AUS\CoralSCOP,CoralSCOP,SEAVIEW_PAC_AUS,cuda,808,0.324768861863438,0.23540967787830433,5.890655259584154e-13,1.0,0.2210763795004894,0.19710863950396895,5.890655259584154e-13,1.0,0.866106682743888,0.20264582331385747,3.5534075681908917e-11,1.0,0.23221190813579787,0.20877195454317182,5.890655259584154e-13,1.0,0.7579903017330711,0.1989755279213706,0.006231526844203472,1.0
automated_underwater_area_estimation\evaluation_results_vm\evaluation_results\SEAVIEW_PAC_AUS\EPFL_b2,EPFL_b2,SEAVIEW_PAC_AUS,cuda,808,0.7230178668341488,0.19420753353929024,1.0151428309068677e-12,0.9968745112419128,0.5961288792163858,0.20042300951096484,1.0151428309068677e-12,0.9937684535980225,0.6918198611832896,0.2083795414370532,1.0151428309068677e-12,1.0,0.8080240835439711,0.18082858574099953,1.3599706430444947e-11,1.0,0.8668097189378621,0.10325695334602682,0.07326515018939972,0.9990206956863403
automated_underwater_area_estimation\evaluation_results_vm\evaluation_results\SEAVIEW_PAC_AUS\EPFL_b5,EPFL_b5,SEAVIEW_PAC_AUS,cuda,808,0.7341813664446847,0.18186495230792596,1.0053615925875725e-12,0.9968745112419128,0.6074849190039757,0.1947290404919833,1.0053615925875725e-12,0.9937684535980225,0.6713723376539581,0.19694527071265225,1.0053615925875725e-12,1.0,0.8657647748522904,0.16771013681377933,1.7771459304150028e-10,1.0,0.8653617980751661,0.10098472230414689,0.06424883008003235,0.9994208216667175
automated_underwater_area_estimation\evaluation_results_vm\evaluation_results\SEAVIEW_PAC_USA\CoralSCOP,CoralSCOP,SEAVIEW_PAC_USA,cuda,728,0.09224820985522836,0.15480886156100948,1.6564932747969302e-13,1.0,0.05769212714545934,0.11753692059611975,1.6564932747969302e-13,1.0,0.9565249404356373,0.14745361212011987,7.924558231842127e-11,1.0,0.059067334402324624,0.12160634402550208,1.6564932747969302e-13,1.0,0.36463247863345893,0.35957775610308007,0.0,1.0
automated_underwater_area_estimation\evaluation_results_vm\evaluation_results\SEAVIEW_PAC_USA\EPFL_b2,EPFL_b2,SEAVIEW_PAC_USA,cuda,728,0.664542699518535,0.23121971346213033,5.1195675303261634e-12,1.0,0.5382676197740865,0.23896686158862626,5.1195675303261634e-12,1.0,0.8976587738276044,0.19725254010720675,1.0772031704131546e-11,1.0,0.5706200316458702,0.23359324984929966,5.1195675303261634e-12,1.0,0.7346391926473518,0.17827186126710293,0.02494260109961033,1.0
automated_underwater_area_estimation\evaluation_results_vm\evaluation_results\SEAVIEW_PAC_USA\EPFL_b5,EPFL_b5,SEAVIEW_PAC_USA,cuda,728,0.7200516355592974,0.24899524474413579,5.11506332082079e-12,1.0,0.6148258328301826,0.2736928242406187,5.11506332082079e-12,1.0,0.910858414791306,0.18182172569799904,1.720578124420058e-10,1.0,0.6446253501075759,0.26876914982986755,5.1195675303261634e-12,1.0,0.8047320719187565,0.16900085450563537,0.0006475726841017604,1.0
